age,cost_of_ad,device_type,gender,in_initial_launch_location,income,n_drivers,n_vehicles,prior_ins_tenure,is_male,device_type_num,outcome
56,0.0057366994874229115,iPhone,M,0,62717,2,1,4,1,2,0
50,0.00473266089339074,desktop,F,0,64328,2,3,2,0,1,0
54,0.004129265683875909,laptop,M,0,83439,1,3,7,1,3,0
16,0.005117213072206782,Android,F,0,30110,2,3,0,0,0,0
37,0.0036345208672220134,desktop,M,0,76565,2,1,5,1,1,0
18,0.004757352145256762,other,F,1,41700,1,3,1,0,4,0
20,0.0045801262250391665,Android,F,0,26619,1,3,0,0,0,0
45,0.005151820313458551,Android,F,1,62496,2,1,10,0,0,0
59,0.004969455441757648,laptop,F,0,89294,1,3,5,0,3,0
56,0.003961164787022329,desktop,M,0,76673,2,3,1,1,1,0
20,0.005842871590442063,iPhone,F,0,50071,2,3,1,0,2,0
24,0.0046019964437136116,laptop,F,0,50175,2,3,4,0,3,0
24,0.004836409030731974,desktop,F,1,51666,1,1,1,0,1,0
40,0.0040802834102565185,laptop,M,1,40752,2,3,8,1,3,0
23,0.003683723706329207,desktop,M,1,33365,2,3,3,1,1,0
32,0.003518911101764733,Android,,0,71909,1,3,8,0,0,0
39,0.0035018677253208954,laptop,M,0,40276,1,3,7,1,3,0
39,0.005621907594844628,iPhone,M,1,44613,1,1,1,1,2,0
20,0.004072433041085258,laptop,M,0,54581,2,1,1,1,3,0
43,0.004868100083914504,Android,F,0,67472,1,3,10,0,0,0
49,0.005578308718457233,iPhone,M,1,50378,1,1,10,1,2,0
30,0.004159635400253747,desktop,M,0,32058,1,1,1,1,1,0
20,0.0052762116497209,iPhone,M,0,57423,2,2,0,1,2,0
31,0.003733578623019921,desktop,M,1,54219,1,2,6,1,1,0
45,0.0052505925108616985,desktop,F,0,67236,1,3,11,0,1,0
22,0.0034034880357872335,laptop,M,0,49648,1,1,1,1,3,0
45,0.004286027585079952,laptop,M,0,80427,2,1,0,1,3,1
21,0.004112442865510549,other,M,0,47282,2,1,0,1,4,0
26,0.004956591503600162,Android,F,1,53722,2,1,2,0,0,0
51,0.005245737178789044,Android,F,1,88957,1,1,1,0,0,0
19,0.004150778903274451,laptop,M,1,22727,1,1,0,1,3,0
21,0.005956215347788625,iPhone,F,0,58334,1,1,0,0,2,0
54,0.004856369845976728,other,F,0,88261,1,3,18,0,4,0
32,0.005491690222959971,iPhone,M,0,40577,2,3,6,1,2,0
35,0.005346096447855094,desktop,F,1,71896,1,2,9,0,1,0
20,0.005069527088738884,iPhone,M,0,36009,2,3,0,1,2,0
26,0.004559378752199978,laptop,F,1,62346,2,3,0,0,3,0
58,0.003852348212314816,desktop,M,0,68187,2,1,17,1,1,0
54,0.005528531852149377,iPhone,,0,87122,2,3,8,0,2,0
19,0.003961119223019627,Android,M,0,40859,2,3,0,1,0,0
56,0.004671873880589335,laptop,F,1,56633,2,1,17,0,3,1
60,0.005029786712880771,Android,F,0,69705,1,3,17,0,0,0
18,0.004533678634614618,Android,F,1,24736,1,2,0,0,0,0
51,0.00503478636189819,iPhone,M,1,78020,1,3,5,1,2,0
37,0.00424216678290609,Android,M,1,62070,1,3,1,1,0,1
46,0.004483664434701452,Android,F,0,60609,2,1,7,0,0,0
28,0.004679678384360061,desktop,F,1,61384,2,2,2,0,1,0
50,0.004608402547214711,Android,F,1,52507,1,1,8,0,0,0
43,0.003815195433344727,other,M,1,50578,2,3,8,1,4,0
52,0.004206857146914527,other,M,0,87287,1,2,16,1,4,0
58,0.005243387476265544,desktop,F,0,78572,2,2,19,0,1,0
23,0.003784412477666794,other,M,1,42376,2,3,3,1,4,0
28,0.006186075168758163,iPhone,F,1,47723,2,3,4,0,2,0
16,0.004601786016837953,other,F,1,46473,1,2,0,0,4,0
59,0.006753853836304999,iPhone,F,0,92780,2,3,9,0,2,0
55,0.0035744253877268263,Android,M,1,64656,1,1,6,1,0,0
31,0.003804377169010437,other,M,1,56164,1,3,3,1,4,0
31,0.005114109856173142,desktop,F,0,42526,1,3,3,0,1,0
60,0.005267577732586353,desktop,F,1,90450,1,1,4,0,1,1
51,0.0039600697572469085,laptop,M,1,82108,2,2,5,1,3,0
31,0.0065235448626110555,iPhone,F,1,36077,2,3,7,0,2,0
31,0.004541261479728186,laptop,F,1,40884,2,2,2,0,3,0
60,0.004142611140503915,desktop,M,0,81684,1,3,13,1,1,0
42,0.005276732032303935,other,F,0,43280,2,1,11,0,4,0
52,0.005058220567610231,Android,F,1,79460,1,2,12,0,0,0
50,0.004888857203246128,Android,F,0,51902,1,2,15,0,0,0
58,0.0036069664519051375,other,M,1,93004,1,3,19,1,4,0
41,0.006170156313919305,iPhone,F,0,44295,2,1,2,0,2,0
36,0.0036122715317823805,Android,M,0,63627,2,2,4,1,0,1
21,0.0039912330496108955,Android,M,1,25496,1,1,2,1,0,0
57,0.006308544941888906,iPhone,F,0,66986,1,1,19,0,2,0
46,0.004065892692560311,other,M,0,56996,1,3,11,1,4,0
23,0.004907347286850409,laptop,F,0,60735,1,2,2,0,3,0
40,0.004501901305445977,desktop,F,1,55915,1,3,11,0,1,0
35,0.0034189567365196408,Android,M,0,59285,1,3,6,1,0,0
57,0.004205585106101447,other,M,1,80736,2,1,13,1,4,1
45,0.005224641450371575,laptop,F,0,80269,1,2,9,0,3,0
45,0.00472892824919247,Android,F,1,50679,2,3,13,0,0,0
44,0.004621839857157691,Android,F,0,65300,2,2,7,0,0,0
29,0.0038457910279195836,Android,M,1,47105,2,2,5,1,0,0
49,0.005135902899740952,other,F,0,80201,1,1,7,0,4,0
47,0.0037762060301300884,Android,M,1,62945,1,1,12,1,0,1
53,0.005232854942185769,other,F,1,76056,2,2,10,0,4,0
33,0.004072881063639104,desktop,M,1,40835,1,2,5,1,1,0
60,0.005196790740512301,other,F,0,94382,1,1,18,0,4,0
22,0.0049280184857110314,Android,F,0,22927,1,2,2,0,0,0
24,0.003342587646787761,laptop,M,1,56170,1,1,1,1,3,0
16,0.004412478390492973,other,F,1,19367,2,2,0,0,4,0
46,0.003609197584473655,other,M,0,55943,2,1,1,1,4,0
52,0.005116126845410025,desktop,F,1,91735,1,1,13,0,1,0
55,0.004540031260466798,other,M,0,93569,2,3,9,1,4,0
35,0.005510428137192037,iPhone,,0,52343,1,3,3,0,2,0
26,0.0054493711357847694,iPhone,M,0,55524,1,1,3,1,2,1
46,0.004147384920071243,Android,M,1,50664,1,1,14,1,0,0
32,0.00414663115965006,laptop,M,0,49408,1,2,2,1,3,0
20,0.0033243536581747083,laptop,M,0,48780,2,1,1,1,3,0
60,0.004037758863571598,Android,M,1,92361,2,3,17,1,0,1
54,0.003768924415721827,laptop,M,0,59985,2,2,0,1,3,0
59,0.004108963840987604,laptop,M,0,89834,2,3,5,1,3,0
44,0.004848348093430015,other,F,1,66803,2,1,7,0,4,0
36,0.005173566034737973,other,F,0,62244,2,1,4,0,4,0
51,0.004480184726808577,Android,M,0,58597,1,2,10,1,0,0
41,0.004771779359151676,other,F,0,74976,2,3,3,0,4,0
47,0.0049081160950723785,Android,F,1,65876,1,1,4,0,0,0
60,0.004910750138393335,laptop,F,1,70379,1,1,22,0,3,0
16,0.0046583755047071955,desktop,F,1,26090,1,1,0,0,1,0
34,0.004484641968485609,other,F,1,70127,2,2,7,0,4,0
28,0.004547172663066905,other,F,0,61275,2,1,6,0,4,0
16,0.004606547393043195,laptop,F,1,25738,2,3,0,0,3,0
46,0.004031797641984901,other,M,1,61650,2,2,6,1,4,0
30,0.0037953286496164237,other,M,1,39968,2,1,6,1,4,0
18,0.004090441677696467,desktop,M,0,52468,2,3,0,1,1,1
16,0.003783259400521998,desktop,M,0,38187,1,2,0,1,1,0
41,0.0042823830173985365,Android,,0,72978,2,2,11,0,0,0
18,0.006440369692994265,iPhone,F,0,24451,2,1,1,0,2,1
22,0.003513367775965209,desktop,M,1,25677,2,1,2,1,1,1
39,0.0035599836490680975,laptop,M,1,50800,1,1,9,1,3,0
21,0.004671149913354998,other,F,1,36216,1,3,0,0,4,0
32,0.003393861900282873,other,M,1,42353,1,2,8,1,4,0
38,0.0053793735655001795,Android,F,1,51055,2,3,4,0,0,0
46,0.003481939597859565,laptop,M,0,65348,2,1,9,1,3,0
58,0.005412838899673188,laptop,F,1,90553,1,2,19,0,3,0
34,0.00551776445862336,iPhone,,0,50425,2,3,3,0,2,0
58,0.005159573805368403,desktop,F,0,60186,1,3,14,0,1,0
24,0.005026512811030506,other,F,0,32661,2,2,1,0,4,0
39,0.004194232538604511,other,M,1,61198,2,1,11,1,4,0
45,0.005240681968588937,other,F,0,50918,1,1,5,0,4,0
16,0.0045410254992724755,other,F,1,54309,1,3,0,0,4,0
56,0.004888006281817375,other,F,1,92792,1,1,19,0,4,0
55,0.004689777012507221,other,F,0,62646,1,3,13,0,4,0
18,0.0046336437568888925,desktop,F,1,43470,1,2,0,0,1,0
58,0.004519053065713655,other,M,1,84746,1,3,15,1,4,0
33,0.0056854501933059545,iPhone,M,0,48473,2,3,7,1,2,0
22,0.005188206875936387,desktop,F,1,34439,2,3,2,0,1,0
45,0.004693568897164024,laptop,F,0,66856,1,3,0,0,3,0
24,0.00501436857780482,laptop,F,0,45532,1,1,1,0,3,0
54,0.005149926347889436,iPhone,M,0,65435,1,2,8,1,2,0
17,0.005844246201406177,iPhone,F,0,18034,2,1,0,0,2,0
19,0.004638275214269885,laptop,F,0,50211,2,3,0,0,3,0
39,0.003691630329028089,laptop,M,0,73173,1,2,11,1,3,0
57,0.005282401314897097,other,F,0,89130,2,1,3,0,4,0
44,0.004715015999557952,laptop,F,0,52270,2,1,1,0,3,0
56,0.003659178461679042,other,M,1,84193,2,2,19,1,4,0
60,0.0039389316188351755,other,M,0,87119,1,3,7,1,4,0
45,0.004824301023435537,Android,F,1,61704,1,2,5,0,0,0
25,0.004994588969191879,desktop,F,1,31328,1,1,3,0,1,0
39,0.0050600132647322955,laptop,F,0,60603,1,3,8,0,3,0
42,0.0037716461856931493,desktop,M,1,62476,2,3,9,1,1,0
52,0.00538756105061535,iPhone,M,0,88455,2,1,11,1,2,0
33,0.004603270388712726,laptop,F,0,44823,1,2,0,0,3,0
35,0.0059195854212483355,iPhone,F,1,61265,1,2,9,0,2,0
56,0.003717409275845089,other,M,0,78340,1,1,14,1,4,1
35,0.005023968710613113,desktop,F,1,38261,1,3,2,0,1,1
33,0.0036031668443647696,other,M,1,60143,2,3,7,1,4,0
48,0.004147132558736349,desktop,M,0,82533,2,2,15,1,1,0
18,0.004947349527308604,desktop,F,0,31843,1,2,1,0,1,0
32,0.004449185701759215,desktop,F,1,43514,1,2,6,0,1,0
50,0.004518741536585646,desktop,F,0,78588,2,3,1,0,1,0
20,0.004489515205585759,laptop,F,1,47373,2,3,2,0,3,0
41,0.004498129881297885,laptop,F,0,64714,1,2,11,0,3,0
22,0.004965804826464602,laptop,F,0,42334,2,2,3,0,3,0
30,0.003809952062322972,laptop,,1,64773,1,1,1,0,3,0
38,0.005077271802823984,iPhone,M,1,54775,1,3,2,1,2,0
54,0.005794445825246986,iPhone,,0,84405,1,3,15,0,2,0
53,0.004998921083526373,Android,F,1,57475,2,3,14,0,0,0
56,0.004021742486446454,Android,M,1,76342,1,2,2,1,0,0
18,0.0047603294074111905,desktop,F,0,48324,2,2,1,0,1,0
18,0.0033308610766956386,Android,M,1,50857,1,3,1,1,0,0
19,0.003437743723598284,desktop,M,1,21565,2,1,0,1,1,0
44,0.0048274165595231155,Android,F,1,62539,1,3,14,0,0,0
37,0.005048379344840081,desktop,F,0,73566,2,3,1,0,1,0
34,0.00525674645505712,Android,F,1,43268,1,3,9,0,0,0
35,0.005163184783814801,Android,F,1,56527,1,1,6,0,0,0
58,0.0048888660700638804,laptop,F,0,81763,2,3,0,0,3,0
29,0.005085792101654622,iPhone,M,1,34057,1,2,1,1,2,0
22,0.0033822472120884507,laptop,M,0,32109,2,3,3,1,3,0
60,0.004569588603408625,desktop,M,0,75566,2,3,11,1,1,0
55,0.006015596637194037,iPhone,M,1,75281,2,3,7,1,2,0
46,0.003987459788461482,other,M,0,78958,2,2,12,1,4,0
26,0.005134116945052237,Android,F,0,57495,1,3,5,0,0,0
51,0.004959319220373826,Android,F,0,68877,1,3,5,0,0,0
48,0.0053948969058190055,iPhone,M,0,49747,1,2,11,1,2,0
41,0.004728684875449732,desktop,F,1,42847,2,1,3,0,1,0
22,0.003978841154765608,desktop,M,1,31095,1,1,3,1,1,0
46,0.0052949630992823815,desktop,F,1,60133,1,3,8,0,1,0
51,0.006248439503459822,iPhone,F,1,54129,2,1,3,0,2,1
56,0.004191954942013142,other,M,1,57077,1,1,17,1,4,0
52,0.004760564238806543,Android,F,0,75122,1,3,0,0,0,0
42,0.004964081959928033,laptop,F,0,76475,1,3,1,0,3,0
48,0.003733650261069213,desktop,,0,72464,2,2,12,0,1,0
17,0.005405186984812312,iPhone,,1,55135,2,1,0,0,2,0
37,0.005200383656763603,laptop,F,0,48474,2,1,10,0,3,0
59,0.005126983790199776,iPhone,M,1,88994,2,3,2,1,2,0
28,0.005269122702296123,Android,F,0,54098,1,1,4,0,0,0
50,0.005865798277078058,iPhone,M,1,53132,1,2,11,1,2,0
37,0.004709036628408161,other,F,1,62339,2,1,7,0,4,0
27,0.004997081324342635,Android,F,1,32414,2,3,2,0,0,0
21,0.0032900689110749956,laptop,M,1,27723,1,3,1,1,3,0
58,0.004931546983771992,laptop,F,1,87091,2,2,5,0,3,0
18,0.003851183888893668,Android,,1,22917,2,3,0,0,0,0
41,0.0044447989657985425,desktop,F,1,69716,1,3,9,0,1,0
20,0.0038050948288547858,Android,M,0,22122,2,3,2,1,0,0
59,0.00411945988153629,other,M,1,68023,2,2,18,1,4,0
41,0.006409043960256467,iPhone,F,1,53192,2,3,0,0,2,0
40,0.005093980641040794,other,F,0,58715,2,2,9,0,4,0
47,0.004467262404023042,desktop,M,0,76170,1,1,5,1,1,1
59,0.005481331682353889,desktop,F,1,78029,2,3,17,0,1,0
26,0.004050373060807749,desktop,M,0,41514,1,2,1,1,1,0
17,0.004235748105267366,other,F,1,22650,2,3,0,0,4,0
41,0.004382379731513766,other,M,1,49213,2,3,1,1,4,0
57,0.004209793929366663,laptop,M,0,93130,2,2,4,1,3,0
27,0.004434657079890124,desktop,F,0,46931,1,2,1,0,1,0
36,0.0036344510332135135,desktop,M,0,72099,2,2,3,1,1,1
56,0.0037141942668795632,laptop,M,1,94053,1,3,18,1,3,0
58,0.004844655907833054,desktop,F,1,95799,1,3,1,0,1,0
29,0.003931907289301232,other,,1,47983,1,3,4,0,4,0
35,0.004508080447015207,Android,F,1,38926,2,1,1,0,0,0
42,0.004281485076832495,Android,M,1,62485,1,2,2,1,0,0
36,0.003679115886403157,Android,M,1,42958,1,2,8,1,0,0
45,0.006240212004969902,iPhone,F,0,48316,2,2,1,0,2,0
40,0.00358983410122336,Android,M,1,60494,1,1,11,1,0,0
26,0.004350049095043784,other,F,1,27518,2,3,3,0,4,0
41,0.0036913563383735287,laptop,M,1,44312,1,1,0,1,3,0
54,0.005267508063359393,desktop,F,1,71332,1,2,4,0,1,0
41,0.003772523775944285,desktop,M,1,53756,2,1,8,1,1,1
34,0.004468663390689216,laptop,F,0,41786,2,2,9,0,3,0
22,0.00482246295116188,laptop,F,1,35045,2,2,1,0,3,0
41,0.006429332710333083,iPhone,F,0,72047,1,1,12,0,2,0
25,0.006343724655630986,iPhone,F,0,44610,2,2,4,0,2,0
48,0.005153806392473016,other,F,1,69708,2,3,11,0,4,0
42,0.003997634395864183,laptop,M,1,79910,1,3,4,1,3,0
19,0.006638205170784302,iPhone,F,1,56523,2,1,0,0,2,0
23,0.003920500260918526,Android,M,0,50063,2,1,1,1,0,1
42,0.0062450495344260545,iPhone,F,1,78758,1,3,3,0,2,0
58,0.004922327017681846,Android,F,1,92939,2,3,14,0,0,0
38,0.006178499161190293,iPhone,F,1,74574,2,3,4,0,2,0
35,0.00391048759023622,other,M,1,57859,1,3,7,1,4,0
33,0.0033720664868327256,other,M,1,52035,2,1,2,1,4,0
21,0.004481132721997976,other,F,1,56296,2,2,0,0,4,0
51,0.004560765429957464,laptop,F,1,66889,1,1,7,0,3,0
49,0.004207358056250244,desktop,M,0,70646,1,3,13,1,1,0
22,0.00397591105940874,other,M,0,35071,1,1,3,1,4,1
34,0.004078686522268635,desktop,M,1,69071,1,2,3,1,1,0
18,0.005116608744777763,desktop,F,0,30210,1,2,1,0,1,0
34,0.0036245616523500465,laptop,M,0,55957,2,1,1,1,3,0
57,0.003732494262539739,Android,M,1,78671,2,1,3,1,0,1
45,0.005017781222420939,desktop,F,1,64334,1,3,12,0,1,0
28,0.0036808332466278662,other,M,0,33684,2,3,2,1,4,0
22,0.004603574390676031,Android,F,0,39090,2,1,0,0,0,0
44,0.004093683367070199,laptop,M,1,61141,2,2,0,1,3,0
60,0.00528607361989111,other,F,0,86569,1,1,5,0,4,0
35,0.005307360536855227,Android,F,0,49360,2,3,3,0,0,0
46,0.005261994991780031,other,F,0,81226,2,2,15,0,4,0
29,0.0033681027221474404,laptop,M,0,52709,1,3,4,1,3,0
52,0.0038481176377422066,laptop,M,0,62783,1,1,4,1,3,0
49,0.0049354826921872205,laptop,F,1,82447,1,1,2,0,3,0
19,0.0036523783057389237,other,M,1,55621,2,1,0,1,4,0
35,0.004395289802727829,desktop,F,0,39786,2,2,9,0,1,0
38,0.0037888669358192486,desktop,M,0,56814,1,3,0,1,1,0
24,0.003922730354101542,other,M,1,29259,2,2,3,1,4,0
58,0.005108842539544009,desktop,F,0,83759,2,3,17,0,1,0
30,0.0036792764680337936,other,M,0,64860,2,1,6,1,4,0
30,0.005832217314909981,iPhone,F,0,37395,2,2,3,0,2,0
58,0.006673944147479358,iPhone,F,1,64612,1,3,2,0,2,0
44,0.003657269210177553,other,M,0,79373,1,1,3,1,4,0
19,0.005287917674277262,iPhone,M,0,56845,2,3,1,1,2,0
59,0.00639050095375742,iPhone,F,1,86103,2,1,7,0,2,0
19,0.005131586409831912,laptop,F,0,41571,2,3,0,0,3,0
